log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c7a5,11,-123,119,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,d5d4,12,-136,132,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c7d8,13,-147,143,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,b7b5,14,-154,150,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c7e7,15,-155,151,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c6b8,16,-158,154,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c7b8,17,-162,158,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c7d7,18,-163,159,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c6d8,19,-164,160,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,a8b8,20,-166,162,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,e8f8,21,-174,170,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,e8e7,22,-182,178,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,e8g8,23,-215,211,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,e8d8,24,-217,213,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,h5h4,25,-232,228,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,e8d7,26,-272,268,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,c6e5,27,-282,278,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
Hypersion_vs_EnyoBot_npmgxvIO.log,14,27,Black,r1b1k2r/ppq2pnp/2n1p3/3pP2p/5PP1/2P1B3/PP1N4/R2QKB1R b KQkq - 0 14,f7f6,28,-304,300,c8d7;c8d7,h5g4;h5g4,c7e5;c6e5,-496,2
